Date,Confirmed,Active,Recovered,Deaths
3/15,0,0,0,0
3/16,2,2,0,0
3/17,2,2,0,0
3/18,3,3,0,0
3/19,7,7,0,0
3/20,13,13,0,0
3/21,34,34,0,0
3/22,45,45,0,0
3/23,53,53,0,0
3/24,60,59,0,1
3/25,81,80,0,1
3/26,111,110,0,1
3/27,123,122,0,1
3/28,146,145,0,1
3/29,194,188,5,1
3/30,228,186,41,1
3/31,249,193,55,1
4/1,277,209,67,1
4/2,301,224,75,2
4/3,322,232,87,3
4/4,349,245,100,4
4/5,364,246,113,5
4/6,377,257,115,5
4/7,397,272,119,6
4/8,422,275,141,6
4/9,442,281,154,7
4/10,456,272,176,8
4/11,481,275,197,9
4/12,494,251,234,9
4/13,520,252,257,11
4/14,537,258,268,11
4/15,563,278,273,12
4/16,579,283,279,17
4/17,598,271,310,17
4/18,624,276,330,18
4/19,637,267,351,19
4/20,646,263,362,21
4/21,667,276,369,22
4/22,695,269,404,22
4/23,724,279,422,23
4/24,746,236,485,25
4/25,774,244,505,25
4/26,798,258,515,25
4/27,819,275,518,26
4/28,841,269,543,29
4/29,876,296,550,30
4/30,920,326,561,33
5/1,947,339,574,34
5/2,994,352,608,34
5/3,1047,401,610,36
5/4,1088,432,619,37
5/5,1115,452,623,40
5/6,1178,505,632,41
5/7,1234,532,661,41
5/8,1286,561,681,65
5/9,1329,588,694,69
5/10,1365,609,709,69
5/11,1394,587,737,75
5/12,1425,600,751,79
5/13,1488,647,764,82
5/14,1523,659,785,84
5/15,1543,662,796,90
5/16,1566,651,821,99
5/17,1597,672,828,102
5/18,1614,679,837,103
5/19,1649,707,852,105
5/20,1710,732,876,107
5/21,1752,746,903,108
5/22,1788,765,919,109
5/23,1836,736,990,115
5/24,1883,779,994,115
5/25,1945,835,994,121
5/26,1959,828,1013,123
5/27,1973,814,1037,127
5/28,1992,822,1045,130
5/29,2024,843,1055,131
5/30,2071,876,1065,135
5/31,2104,895,1077,137
6/1,2129,909,1086,139
6/2,2152,906,1110,141
6/3,2182,920,1123,144
6/4,2222,912,1166,149
6/5,2243,917,1180,151
6/6,2271,922,1203,151
6/7,2305,933,1223,154
6/8,2324,941,1232,156
6/9,2336,929,1252,160
6/10,2351,910,1285,161
6/11,2366,865,1342,164
6/12,2389,855,1373,166
6/13,2406,802,1440,169
6/14,2423,801,1454,173
6/15,2435,796,1471,173
6/16,2444,761,1514,174
6/17,2462,741,1549,177
6/18,2482,682,1627,178
6/19,2528,566,1789,178
6/20,2544,524,1847,178
6/21,2557,524,1858,180
6/22,2576,504,1897,180
6/23,2582,433,1972,182
6/24,2598,439,1982,182
6/25,2631,470,1982,184
6/26,2647,475,1993,184
6/27,2671,479,2013,184
6/28,2696,496,2020,185
6/29,2708,443,2083,187
6/30,2726,460,2084,187
7/1,2739,445,2111,188
7/2,2765,403,2179,188
7/3,2784,411,2190,188
7/4,2800,417,2200,188
7/5,2823,398,2242,188
7/6,2844,344,2317,188
7/7,2860,315,2362,188
7/8,2894,329,2382,188
7/9,2925,301,2441,188
7/10,2944,304,2455,190
7/11,2973,320,2468,190
7/12,3012,342,2484,191
7/13,3024,288,2550,191
7/14,3041,270,2585,191
7/15,3066,279,2600,192
7/16,3103,313,2600,195
7/17,3113,315,2612,191
7/18,3136,333,2617,191
7/19,3158,326,2645,192
7/20,3169,320,2662,192
7/21,3183,305,2691,192
7/22,3201,258,2754,194
7/23,3218,255,2774,194
7/24,3240,273,2778,194
7/25,3259,291,2779,194
7/26,3275,290,2795,195
7/27,3286,203,2892,196
7/28,3302,173,2938,196
7/29,3312,147,2974,196
7/30,3327,155,2980,197
7/31,3344,162,2988,199
8/1,3354,161,2998,200
8/2,3369,173,3001,200
8/3,3373,146,3032,200
8/4,3382,118,3069,200
8/5,3398,124,3079,200
8/6,3409,120,3093,201
8/7,3430,125,3109,201
8/8,3441,117,3128,201
8/9,3450,125,3129,201
8/10,3454,113,3145,201
8/11,3462,107,3159,201
8/12,3480,118,3164,203
8/13,3488,126,3164,203
8/14,3504,137,3169,203
8/15,3528,161,3169,203
8/16,3542,174,3170,203
8/17,3551,158,3195,203
8/18,3558,155,3204,204
8/19,3578,166,3213,204
8/20,3590,167,3224,204
8/21,3600,166,3235,204
8/22,3628,173,3256,204
8/23,3637,182,3256,204
8/24,3646,190,3257,204
8/25,3656,124,3333,204
8/26,3675,135,3341,204
8/27,3691,145,3347,204
8/28,3722,150,3373,204
8/29,3738,165,3374,204
8/30,3748,175,3374,204
8/31,3763,169,3395,204
9/1,3772,171,3402,204
9/2,3784,175,3410,204
9/3,3793,175,3419,204
9/4,3809,171,3439,204
9/5,3821,162,3460,204
9/6,3835,176,3459,205
9/7,3853,171,3482,205
9/8,3858,176,3482,205
9/9,3868,173,3495,205
9/10,3872,171,3501,205
9/11,3880,168,3512,205
9/12,3894,160,3534,205
9/13,3910,176,3534,205
9/14,3921,123,3598,205
9/15,3937,123,3614,205
9/16,3953,125,3628,205
9/17,3969,140,3629,205
9/18,3993,158,3635,205
9/19,4012,159,3653,205
9/20,4025,172,3653,205
9/21,4041,188,3653,205
9/22,4053,164,3689,205
9/23,4070,168,3702,205
9/24,4093,179,3714,205
9/25,4116,178,3738,205
9/26,4142,193,3748,206
9/27,4160,210,3748,207
9/28,4172,198,3772,207
9/29,4185,188,3795,207
9/30,4206,187,3817,207
10/1,4226,190,3834,207
10/2,4259,190,3867,207
10/3,4284,186,3896,207
10/4,4310,212,3896,207
10/5,4319,197,3920,207
10/6,4334,175,3957,207
10/7,4382,209,3971,207
